address,staked_bmx,voter_points
0xe66498c07A5247a2BEbEbC93880dffe89C19cB20,25.788988189502494838,34.664824298836506911
0x43076a62CB3BEb298a1998bb210585e4F141033d,24.059636659999023423,19.575781272356761231
0xa41449434688A52cB604BB30B3588838C71Ad795,22.88981754404103606,31.695544577665730115
0x610649AB2D224b5848aBE92A3750854f3cEDcd1c,21.935156283142869959,31.339216016155420952
0xfF628B747C4E70825AF24e3d59748bac477dcbF6,21.119198361271012933,19.756900238565581037
0xdB02db34221f6116A993B4a70cEFe28b9aFF379B,20.681901829962925666,29.753266236998275214
0xeC5c16f3EAF86a801a3E89201DD39bDDD1786cBF,19.56133602458730859,38.595973972170968937
0xbEE2D469AACB46251aE33Cca91F482e26c971dFF,15.972047838458411059,21.770045024591184304
0x046a020Ab8e7E0B33Fba87f38Bd3B91a5E0f43bC,15.712412023400541101,25.882608510447348836
0x008082A16BA9A35FB1Ec8ecC1c8735227B5F542e,15.037941361111346883,24.953660242092929216
0x212514E0c3CAffe485EAfbd625775AF5E792c16B,14.388946556364221254,0.67812141216275951
0x9073f3d488076F05039011a5952dd571D49E6FE5,13.704857425091271614,7.96879312708825417
0xFBb486C53F209b3F0991A6E77233D367630697f2,13.48588952888684471,22.368369640764760953
0x975583d343BB1e7e5c147E22EF216db3E4b875Fb,13.04,9.045495205479452054
0xEA9F83606EA6b80f15DdCfc8bAcD61DF1A12225A,11.532487737013014423,12.135409092190929409
0xd550Afa68B28b03B04C8C16844bAC1b1981Ed72f,10.369640995836286264,8.713641947661796636
0xB9937E25310B339B48274671C72b764Dc0aA09b2,10.152736455103617332,15.762453658179610717
0xc5115D9D85256cC93836189D21d23729014B9Afe,10,21.830115423642820902
0x9f07e479b4a1b4Ef6262DbE4f9B028E4Fd85916C,9.023718855691222544,11.783384168913292916
0x30880656b079f3f8bbA5293884E89c23E6B4AEf9,8.312442627123753471,14.252276479485140403
0x508646523D6a345B0814B91A85912F262dd0e3c5,7.443907252362,16.407348337383494941
0x8d32ea2E4772BB9c56ff70b683636F28a427e4cD,5.800535041127155596,4.528323717264476219
